Date,Open,High,Low,Close
05/26/2021,"37,656","40,859","37,526","38,731"
05/25/2021,"39,067","39,845","36,553","37,656"
05/24/2021,"33,791","39,831","33,715","38,999"
05/23/2021,"38,093","38,397","31,228","33,791"
05/22/2021,"35,250","38,800","33,623","38,086"
05/21/2021,"40,108","42,124","35,263","35,263"
05/20/2021,"38,468","42,569","35,132","40,108"
05/19/2021,"43,367","43,569","30,445","38,390"
05/18/2021,"44,853","45,816","42,539","43,318"
05/17/2021,"44,062","46,552","42,162","44,843"
05/16/2021,"48,266","49,812","43,893","44,062"
05/15/2021,"49,351","50,661","47,128","48,255"
05/14/2021,"49,253","51,543","48,528","49,351"
05/13/2021,"54,540","54,820","46,710","49,253"
