sequence,symbol,ask_price,partitionKey,time_exchange,bid_size,id,ts,ask_size,bid_price
913897,QUOTE_COINBASE_SPOT_BTC_USDT,16904.6,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:55.376545Z,0.02,05c586fb-862a-4733-bc9d-c18832a3398f,2023-01-04T18:11:55.446396700Z,0.05917766,16902.87
913903,QUOTE_COINBASE_SPOT_BTC_USDT,16904.6,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:56.264647Z,0.1,1989d80e-d1cf-493d-994f-f801d438dc59,2023-01-04T18:11:56.332805900Z,0.05917766,16902.9
913911,QUOTE_COINBASE_SPOT_BTC_USDT,16905.11,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:58.278739Z,0.1,3bc60766-1e04-4e60-8bf7-9c9a6a733db0,2023-01-04T18:11:58.348798900Z,0.0591759,16902.95
913913,QUOTE_COINBASE_SPOT_BTC_USDT,16905.11,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:58.801041Z,0.1,56367f26-b985-4185-aa7b-73dd6e15f89e,2023-01-04T18:11:58.868517300Z,0.0591759,16902.95
913917,QUOTE_COINBASE_SPOT_BTC_USDT,16904.84,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:59.272287Z,0.1,fbcfcd75-4565-41d8-baca-5df806b1b204,2023-01-04T18:11:59.338862100Z,0.02,16902.95
913922,QUOTE_COINBASE_SPOT_BTC_USDT,16904.29,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:11:59.840750Z,0.1,0b4ecef7-8f44-4ecc-ac11-4520d60e785b,2023-01-04T18:11:59.907848100Z,0.04175739,16902.95
913927,QUOTE_COINBASE_SPOT_BTC_USDT,16904.5,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:00.203433Z,0.1,f7a3cd80-ec9e-4b64-8ac7-71a75fc6d30f,2023-01-04T18:12:00.269531200Z,0.05917804,16902.95
913933,QUOTE_COINBASE_SPOT_BTC_USDT,16904.5,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:01.067412Z,0.1,8785befb-4007-497f-a642-f8cab34fc035,2023-01-04T18:12:01.145311500Z,0.05917804,16902.95
913934,QUOTE_COINBASE_SPOT_BTC_USDT,16904.49,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:01.850187Z,0.1,8ee3828e-0a9f-4346-bb94-74e811baa913,2023-01-04T18:12:01.917092500Z,0.02,16902.95
913935,QUOTE_COINBASE_SPOT_BTC_USDT,16904.5,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:01.998123Z,0.1,d59aa56d-c0f3-43c6-8879-4b4a50d9c8e5,2023-01-04T18:12:02.077289100Z,0.05917804,16902.95
913937,QUOTE_COINBASE_SPOT_BTC_USDT,16904.48,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:02.699747Z,0.1,13f2ca57-855f-4511-997e-2842973bfd1d,2023-01-04T18:12:02.772527200Z,0.02,16902.95
913943,QUOTE_COINBASE_SPOT_BTC_USDT,16904.48,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:03.272095Z,0.1,671dade1-aca6-41e3-9a97-105021e7eac5,2023-01-04T18:12:03.339939300Z,0.02,16902.95
913948,QUOTE_COINBASE_SPOT_BTC_USDT,16904.28,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:04.388314Z,0.1,ac64e906-57db-44e7-a379-2e8b2c061add,2023-01-04T18:12:04.457568200Z,0.04175739,16902.95
913964,QUOTE_COINBASE_SPOT_BTC_USDT,16903.51,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:04.885522Z,0.1,beced6d5-e7e1-458f-b47d-4ee226d08169,2023-01-04T18:12:04.957029700Z,0.05918149,16901.47
913976,QUOTE_COINBASE_SPOT_BTC_USDT,16902.67,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:05.135595Z,0.1,73109790-2049-4d12-874c-6b0bc809a261,2023-01-04T18:12:05.206478800Z,0.04175739,16901.47
913983,QUOTE_COINBASE_SPOT_BTC_USDT,16902.84,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:05.864553Z,0.02,08f5e929-ea7a-4274-b236-84d4f03de0cf,2023-01-04T18:12:05.930718300Z,0.08877577,16901.54
913990,QUOTE_COINBASE_SPOT_BTC_USDT,16903.74,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:06.330219Z,0.02,716fbd73-8f90-423a-881b-e8699be902d0,2023-01-04T18:12:06.398687300Z,0.05918075,16901.54
914020,QUOTE_COINBASE_SPOT_BTC_USDT,16905.5,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:06.896924Z,0.02,b8fed1f9-388d-4ff3-baea-09d524174ef9,2023-01-04T18:12:06.963505700Z,0.04175739,16903.27
914028,QUOTE_COINBASE_SPOT_BTC_USDT,16905.2,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:07.408952Z,0.02,dbc26874-b14c-4831-a664-135bbe029070,2023-01-04T18:12:07.475949800Z,0.08876337,16902.7
914032,QUOTE_COINBASE_SPOT_BTC_USDT,16905.18,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:07.903035Z,0.1,ca057ed0-346d-4160-a033-35ff6da5543c,2023-01-04T18:12:07.970607200Z,0.04175739,16902.69
914034,QUOTE_COINBASE_SPOT_BTC_USDT,16905.2,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:08.303027Z,0.1,eacd9636-0f06-40ff-ba4c-6074f8a0f813,2023-01-04T18:12:08.369610200Z,0.08876337,16902.69
914037,QUOTE_COINBASE_SPOT_BTC_USDT,16905.2,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:09.154530Z,0.1,6a7c4bed-50c9-4ea9-8c2b-04365ad72483,2023-01-04T18:12:09.223107900Z,0.08876337,16902.7
914044,QUOTE_COINBASE_SPOT_BTC_USDT,16905.2,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:09.758483Z,0.1,effb1a68-c7c5-4537-bb8c-96d6ea58e651,2023-01-04T18:12:09.834725100Z,0.08876337,16902.76
914056,QUOTE_COINBASE_SPOT_BTC_USDT,16905.2,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:12.381064Z,0.1,160fb8f5-654c-4181-b989-dfe1c28e0f40,2023-01-04T18:12:12.454266300Z,0.08876337,16903.05
914059,QUOTE_COINBASE_SPOT_BTC_USDT,16905.2,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:12.636817Z,0.02,d047e9c6-09fc-445b-844c-e3c6534c1d86,2023-01-04T18:12:12.711765700Z,0.08876337,16903.1
914067,QUOTE_COINBASE_SPOT_BTC_USDT,16905.2,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:13.406728Z,0.02,35ed5e00-27b7-40f2-a5d2-df75cb2c91d9,2023-01-04T18:12:13.473291800Z,0.08876337,16903.21
914069,QUOTE_COINBASE_SPOT_BTC_USDT,16905.2,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:13.477305Z,0.02,8c909e6e-5a32-4186-a7eb-a77159282a88,2023-01-04T18:12:13.547276600Z,0.08876337,16903.27
914075,QUOTE_COINBASE_SPOT_BTC_USDT,16905.42,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:15.303189Z,0.04175739,76f0fe49-3b3e-4be9-a5b1-175a745ca1f4,2023-01-04T18:12:15.378640700Z,0.25135636,16903.69
914076,QUOTE_COINBASE_SPOT_BTC_USDT,16905.42,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:15.631598Z,0.02,175c6382-522a-4b20-aa4d-0ed818ead993,2023-01-04T18:12:15.704183600Z,0.25135636,16903.7
914077,QUOTE_COINBASE_SPOT_BTC_USDT,16905.42,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:16.607038Z,0.04175739,16db77d1-25aa-42da-9a81-492531f73cb0,2023-01-04T18:12:16.674969600Z,0.25135636,16903.69
914080,QUOTE_COINBASE_SPOT_BTC_USDT,16905.42,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:17.843877Z,0.1,a3a61351-e609-4ed8-8eba-eaeaef025095,2023-01-04T18:12:17.911157800Z,0.25135636,16903.51
914083,QUOTE_COINBASE_SPOT_BTC_USDT,16905.41,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:20.306395Z,0.1,0f87d113-2a27-459c-86fc-fea493a5d1a8,2023-01-04T18:12:20.372721200Z,0.02,16903.51
914087,QUOTE_COINBASE_SPOT_BTC_USDT,16905.38,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:21.519134Z,0.1,9ffe44d2-d7aa-42ff-aa9c-45025dd15fa5,2023-01-04T18:12:21.586877800Z,0.02,16903.51
914091,QUOTE_COINBASE_SPOT_BTC_USDT,16905.38,QUOTE_COINBASE_SPOT_BTC_USDT,2023-01-04T18:12:22.039195Z,0.1,e37f4cb0-f7e9-4ff5-aa4f-172fd506dd2b,2023-01-04T18:12:22.106120600Z,0.02,16903.51
